energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.86E+01,
1.25E-02,1.56E+01,
1.50E-02,1.36E+01,
1.75E-02,1.20E+01,
2.00E-02,1.08E+01,
2.50E-02,9.12E+00,
3.00E-02,7.93E+00,
3.50E-02,7.05E+00,
4.00E-02,6.38E+00,
4.50E-02,5.84E+00,
5.00E-02,5.41E+00,
5.50E-02,5.05E+00,
6.00E-02,4.74E+00,
7.00E-02,4.26E+00,
8.00E-02,3.89E+00,
9.00E-02,3.60E+00,
1.00E-01,3.36E+00,
1.25E-01,2.93E+00,
1.50E-01,2.64E+00,
1.75E-01,2.43E+00,
2.00E-01,2.27E+00,
2.50E-01,2.05E+00,
3.00E-01,1.90E+00,
3.50E-01,1.80E+00,
4.00E-01,1.73E+00,
4.50E-01,1.67E+00,
5.00E-01,1.63E+00,
5.50E-01,1.60E+00,
6.00E-01,1.57E+00,
7.00E-01,1.53E+00,
8.00E-01,1.51E+00,
9.00E-01,1.49E+00,
1.00E+00,1.48E+00,
1.25E+00,1.46E+00,
1.50E+00,1.46E+00,
1.75E+00,1.46E+00,
2.00E+00,1.47E+00,
2.50E+00,1.48E+00,
3.00E+00,1.50E+00,
3.50E+00,1.52E+00,
4.00E+00,1.53E+00,
4.50E+00,1.55E+00,
5.00E+00,1.56E+00,
5.50E+00,1.57E+00,
6.00E+00,1.58E+00,
7.00E+00,1.61E+00,
8.00E+00,1.63E+00,
9.00E+00,1.65E+00,
1.00E+01,1.67E+00,
1.25E+01,1.72E+00,
1.50E+01,1.76E+00,
1.75E+01,1.80E+00,
2.00E+01,1.84E+00,
2.50E+01,1.92E+00,
3.00E+01,2.00E+00,
3.50E+01,2.08E+00,
4.00E+01,2.16E+00,
4.50E+01,2.23E+00,
5.00E+01,2.31E+00,
5.50E+01,2.38E+00,
6.00E+01,2.46E+00,
7.00E+01,2.61E+00,
8.00E+01,2.76E+00,
9.00E+01,2.91E+00,
1.00E+02,3.06E+00,
1.25E+02,3.44E+00,
1.50E+02,3.81E+00,
1.75E+02,4.19E+00,
2.00E+02,4.56E+00,
2.50E+02,5.31E+00,
3.00E+02,6.07E+00,
3.50E+02,6.82E+00,
4.00E+02,7.58E+00,
4.50E+02,8.33E+00,
5.00E+02,9.09E+00,
5.50E+02,9.85E+00,
6.00E+02,1.06E+01,
7.00E+02,1.21E+01,
8.00E+02,1.36E+01,
9.00E+02,1.52E+01,
1.00E+03,1.67E+01,
