energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.88E+01,
1.25E-02,1.58E+01,
1.50E-02,1.37E+01,
1.75E-02,1.21E+01,
2.00E-02,1.10E+01,
2.50E-02,9.22E+00,
3.00E-02,8.03E+00,
3.50E-02,7.14E+00,
4.00E-02,6.47E+00,
4.50E-02,5.93E+00,
5.00E-02,5.49E+00,
5.50E-02,5.13E+00,
6.00E-02,4.82E+00,
7.00E-02,4.33E+00,
8.00E-02,3.95E+00,
9.00E-02,3.66E+00,
1.00E-01,3.42E+00,
1.25E-01,2.98E+00,
1.50E-01,2.68E+00,
1.75E-01,2.47E+00,
2.00E-01,2.31E+00,
2.50E-01,2.09E+00,
3.00E-01,1.94E+00,
3.50E-01,1.84E+00,
4.00E-01,1.76E+00,
4.50E-01,1.71E+00,
5.00E-01,1.66E+00,
5.50E-01,1.63E+00,
6.00E-01,1.60E+00,
7.00E-01,1.56E+00,
8.00E-01,1.53E+00,
9.00E-01,1.52E+00,
1.00E+00,1.50E+00,
1.25E+00,1.49E+00,
1.50E+00,1.49E+00,
1.75E+00,1.49E+00,
2.00E+00,1.50E+00,
2.50E+00,1.51E+00,
3.00E+00,1.53E+00,
3.50E+00,1.55E+00,
4.00E+00,1.56E+00,
4.50E+00,1.58E+00,
5.00E+00,1.60E+00,
5.50E+00,1.61E+00,
6.00E+00,1.63E+00,
7.00E+00,1.66E+00,
8.00E+00,1.68E+00,
9.00E+00,1.71E+00,
1.00E+01,1.73E+00,
1.25E+01,1.79E+00,
1.50E+01,1.84E+00,
1.75E+01,1.89E+00,
2.00E+01,1.94E+00,
2.50E+01,2.04E+00,
3.00E+01,2.13E+00,
3.50E+01,2.23E+00,
4.00E+01,2.32E+00,
4.50E+01,2.42E+00,
5.00E+01,2.51E+00,
5.50E+01,2.60E+00,
6.00E+01,2.69E+00,
7.00E+01,2.88E+00,
8.00E+01,3.06E+00,
9.00E+01,3.25E+00,
1.00E+02,3.43E+00,
1.25E+02,3.89E+00,
1.50E+02,4.35E+00,
1.75E+02,4.81E+00,
2.00E+02,5.27E+00,
2.50E+02,6.20E+00,
3.00E+02,7.13E+00,
3.50E+02,8.06E+00,
4.00E+02,8.99E+00,
4.50E+02,9.92E+00,
5.00E+02,1.09E+01,
5.50E+02,1.18E+01,
6.00E+02,1.27E+01,
7.00E+02,1.46E+01,
8.00E+02,1.65E+01,
9.00E+02,1.83E+01,
1.00E+03,2.02E+01,
