energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.77E+01,
1.25E-02,1.50E+01,
1.50E-02,1.31E+01,
1.75E-02,1.16E+01,
2.00E-02,1.05E+01,
2.50E-02,8.90E+00,
3.00E-02,7.77E+00,
3.50E-02,6.94E+00,
4.00E-02,6.29E+00,
4.50E-02,5.78E+00,
5.00E-02,5.36E+00,
5.50E-02,5.01E+00,
6.00E-02,4.72E+00,
7.00E-02,4.25E+00,
8.00E-02,3.89E+00,
9.00E-02,3.61E+00,
1.00E-01,3.38E+00,
1.25E-01,2.95E+00,
1.50E-01,2.67E+00,
1.75E-01,2.46E+00,
2.00E-01,2.31E+00,
2.50E-01,2.10E+00,
3.00E-01,1.96E+00,
3.50E-01,1.86E+00,
4.00E-01,1.79E+00,
4.50E-01,1.74E+00,
5.00E-01,1.70E+00,
5.50E-01,1.67E+00,
6.00E-01,1.65E+00,
7.00E-01,1.62E+00,
8.00E-01,1.60E+00,
9.00E-01,1.59E+00,
1.00E+00,1.59E+00,
1.25E+00,1.59E+00,
1.50E+00,1.60E+00,
1.75E+00,1.61E+00,
2.00E+00,1.63E+00,
2.50E+00,1.67E+00,
3.00E+00,1.71E+00,
3.50E+00,1.75E+00,
4.00E+00,1.78E+00,
4.50E+00,1.82E+00,
5.00E+00,1.85E+00,
5.50E+00,1.88E+00,
6.00E+00,1.91E+00,
7.00E+00,1.97E+00,
8.00E+00,2.02E+00,
9.00E+00,2.08E+00,
1.00E+01,2.13E+00,
1.25E+01,2.25E+00,
1.50E+01,2.36E+00,
1.75E+01,2.46E+00,
2.00E+01,2.57E+00,
2.50E+01,2.77E+00,
3.00E+01,2.96E+00,
3.50E+01,3.15E+00,
4.00E+01,3.34E+00,
4.50E+01,3.52E+00,
5.00E+01,3.70E+00,
5.50E+01,3.88E+00,
6.00E+01,4.06E+00,
7.00E+01,4.41E+00,
8.00E+01,4.76E+00,
9.00E+01,5.11E+00,
1.00E+02,5.45E+00,
1.25E+02,6.30E+00,
1.50E+02,7.14E+00,
1.75E+02,7.99E+00,
2.00E+02,8.84E+00,
2.50E+02,1.05E+01,
3.00E+02,1.22E+01,
3.50E+02,1.39E+01,
4.00E+02,1.56E+01,
4.50E+02,1.73E+01,
5.00E+02,1.90E+01,
5.50E+02,2.07E+01,
6.00E+02,2.24E+01,
7.00E+02,2.58E+01,
8.00E+02,2.92E+01,
9.00E+02,3.25E+01,
1.00E+03,3.59E+01,
