energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.72E+01,
1.25E-02,1.45E+01,
1.50E-02,1.27E+01,
1.75E-02,1.13E+01,
2.00E-02,1.02E+01,
2.50E-02,8.66E+00,
3.00E-02,7.56E+00,
3.50E-02,6.75E+00,
4.00E-02,6.13E+00,
4.50E-02,5.63E+00,
5.00E-02,5.23E+00,
5.50E-02,4.89E+00,
6.00E-02,4.60E+00,
7.00E-02,4.15E+00,
8.00E-02,3.80E+00,
9.00E-02,3.52E+00,
1.00E-01,3.30E+00,
1.25E-01,2.89E+00,
1.50E-01,2.61E+00,
1.75E-01,2.41E+00,
2.00E-01,2.26E+00,
2.50E-01,2.05E+00,
3.00E-01,1.91E+00,
3.50E-01,1.82E+00,
4.00E-01,1.75E+00,
4.50E-01,1.70E+00,
5.00E-01,1.66E+00,
5.50E-01,1.63E+00,
6.00E-01,1.61E+00,
7.00E-01,1.58E+00,
8.00E-01,1.56E+00,
9.00E-01,1.55E+00,
1.00E+00,1.54E+00,
1.25E+00,1.54E+00,
1.50E+00,1.55E+00,
1.75E+00,1.56E+00,
2.00E+00,1.57E+00,
2.50E+00,1.61E+00,
3.00E+00,1.64E+00,
3.50E+00,1.67E+00,
4.00E+00,1.69E+00,
4.50E+00,1.72E+00,
5.00E+00,1.75E+00,
5.50E+00,1.77E+00,
6.00E+00,1.80E+00,
7.00E+00,1.84E+00,
8.00E+00,1.89E+00,
9.00E+00,1.93E+00,
1.00E+01,1.97E+00,
1.25E+01,2.08E+00,
1.50E+01,2.18E+00,
1.75E+01,2.28E+00,
2.00E+01,2.38E+00,
2.50E+01,2.58E+00,
3.00E+01,2.77E+00,
3.50E+01,2.97E+00,
4.00E+01,3.16E+00,
4.50E+01,3.35E+00,
5.00E+01,3.55E+00,
5.50E+01,3.74E+00,
6.00E+01,3.93E+00,
7.00E+01,4.32E+00,
8.00E+01,4.70E+00,
9.00E+01,5.09E+00,
1.00E+02,5.47E+00,
1.25E+02,6.44E+00,
1.50E+02,7.41E+00,
1.75E+02,8.38E+00,
2.00E+02,9.36E+00,
2.50E+02,1.13E+01,
3.00E+02,1.33E+01,
3.50E+02,1.52E+01,
4.00E+02,1.72E+01,
4.50E+02,1.91E+01,
5.00E+02,2.11E+01,
5.50E+02,2.31E+01,
6.00E+02,2.50E+01,
7.00E+02,2.90E+01,
8.00E+02,3.29E+01,
9.00E+02,3.68E+01,
1.00E+03,4.08E+01,
