energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.98E+01,
1.25E-02,1.65E+01,
1.50E-02,1.43E+01,
1.75E-02,1.27E+01,
2.00E-02,1.14E+01,
2.50E-02,9.55E+00,
3.00E-02,8.29E+00,
3.50E-02,7.36E+00,
4.00E-02,6.65E+00,
4.50E-02,6.09E+00,
5.00E-02,5.63E+00,
5.50E-02,5.25E+00,
6.00E-02,4.93E+00,
7.00E-02,4.42E+00,
8.00E-02,4.03E+00,
9.00E-02,3.73E+00,
1.00E-01,3.48E+00,
1.25E-01,3.03E+00,
1.50E-01,2.72E+00,
1.75E-01,2.50E+00,
2.00E-01,2.34E+00,
2.50E-01,2.11E+00,
3.00E-01,1.96E+00,
3.50E-01,1.86E+00,
4.00E-01,1.78E+00,
4.50E-01,1.72E+00,
5.00E-01,1.68E+00,
5.50E-01,1.64E+00,
6.00E-01,1.62E+00,
7.00E-01,1.58E+00,
8.00E-01,1.55E+00,
9.00E-01,1.53E+00,
1.00E+00,1.52E+00,
1.25E+00,1.51E+00,
1.50E+00,1.51E+00,
1.75E+00,1.51E+00,
2.00E+00,1.51E+00,
2.50E+00,1.53E+00,
3.00E+00,1.54E+00,
3.50E+00,1.56E+00,
4.00E+00,1.57E+00,
4.50E+00,1.59E+00,
5.00E+00,1.60E+00,
5.50E+00,1.61E+00,
6.00E+00,1.62E+00,
7.00E+00,1.64E+00,
8.00E+00,1.66E+00,
9.00E+00,1.68E+00,
1.00E+01,1.69E+00,
1.25E+01,1.73E+00,
1.50E+01,1.77E+00,
1.75E+01,1.80E+00,
2.00E+01,1.84E+00,
2.50E+01,1.90E+00,
3.00E+01,1.97E+00,
3.50E+01,2.03E+00,
4.00E+01,2.09E+00,
4.50E+01,2.16E+00,
5.00E+01,2.22E+00,
5.50E+01,2.28E+00,
6.00E+01,2.34E+00,
7.00E+01,2.46E+00,
8.00E+01,2.58E+00,
9.00E+01,2.70E+00,
1.00E+02,2.82E+00,
1.25E+02,3.12E+00,
1.50E+02,3.42E+00,
1.75E+02,3.72E+00,
2.00E+02,4.02E+00,
2.50E+02,4.62E+00,
3.00E+02,5.22E+00,
3.50E+02,5.82E+00,
4.00E+02,6.42E+00,
4.50E+02,7.02E+00,
5.00E+02,7.62E+00,
5.50E+02,8.22E+00,
6.00E+02,8.82E+00,
7.00E+02,1.00E+01,
8.00E+02,1.12E+01,
9.00E+02,1.24E+01,
1.00E+03,1.37E+01,
