energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.69E+01,
1.25E-02,1.43E+01,
1.50E-02,1.25E+01,
1.75E-02,1.12E+01,
2.00E-02,1.01E+01,
2.50E-02,8.56E+00,
3.00E-02,7.49E+00,
3.50E-02,6.69E+00,
4.00E-02,6.08E+00,
4.50E-02,5.58E+00,
5.00E-02,5.18E+00,
5.50E-02,4.85E+00,
6.00E-02,4.57E+00,
7.00E-02,4.12E+00,
8.00E-02,3.77E+00,
9.00E-02,3.50E+00,
1.00E-01,3.27E+00,
1.25E-01,2.87E+00,
1.50E-01,2.59E+00,
1.75E-01,2.39E+00,
2.00E-01,2.25E+00,
2.50E-01,2.04E+00,
3.00E-01,1.90E+00,
3.50E-01,1.81E+00,
4.00E-01,1.74E+00,
4.50E-01,1.69E+00,
5.00E-01,1.65E+00,
5.50E-01,1.62E+00,
6.00E-01,1.60E+00,
7.00E-01,1.57E+00,
8.00E-01,1.55E+00,
9.00E-01,1.54E+00,
1.00E+00,1.53E+00,
1.25E+00,1.53E+00,
1.50E+00,1.54E+00,
1.75E+00,1.55E+00,
2.00E+00,1.57E+00,
2.50E+00,1.60E+00,
3.00E+00,1.63E+00,
3.50E+00,1.67E+00,
4.00E+00,1.70E+00,
4.50E+00,1.73E+00,
5.00E+00,1.76E+00,
5.50E+00,1.79E+00,
6.00E+00,1.81E+00,
7.00E+00,1.87E+00,
8.00E+00,1.92E+00,
9.00E+00,1.97E+00,
1.00E+01,2.01E+00,
1.25E+01,2.13E+00,
1.50E+01,2.25E+00,
1.75E+01,2.36E+00,
2.00E+01,2.47E+00,
2.50E+01,2.70E+00,
3.00E+01,2.92E+00,
3.50E+01,3.14E+00,
4.00E+01,3.36E+00,
4.50E+01,3.58E+00,
5.00E+01,3.80E+00,
5.50E+01,4.02E+00,
6.00E+01,4.24E+00,
7.00E+01,4.69E+00,
8.00E+01,5.13E+00,
9.00E+01,5.57E+00,
1.00E+02,6.02E+00,
1.25E+02,7.13E+00,
1.50E+02,8.25E+00,
1.75E+02,9.37E+00,
2.00E+02,1.05E+01,
2.50E+02,1.27E+01,
3.00E+02,1.50E+01,
3.50E+02,1.72E+01,
4.00E+02,1.95E+01,
4.50E+02,2.18E+01,
5.00E+02,2.40E+01,
5.50E+02,2.63E+01,
6.00E+02,2.85E+01,
7.00E+02,3.31E+01,
8.00E+02,3.76E+01,
9.00E+02,4.22E+01,
1.00E+03,4.67E+01,
