energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,5.12E+01,
1.25E-02,4.27E+01,
1.50E-02,3.68E+01,
1.75E-02,3.25E+01,
2.00E-02,2.92E+01,
2.50E-02,2.44E+01,
3.00E-02,2.11E+01,
3.50E-02,1.87E+01,
4.00E-02,1.69E+01,
4.50E-02,1.54E+01,
5.00E-02,1.42E+01,
5.50E-02,1.33E+01,
6.00E-02,1.25E+01,
7.00E-02,1.11E+01,
8.00E-02,1.02E+01,
9.00E-02,9.37E+00,
1.00E-01,8.74E+00,
1.25E-01,7.59E+00,
1.50E-01,6.82E+00,
1.75E-01,6.27E+00,
2.00E-01,5.85E+00,
2.50E-01,5.28E+00,
3.00E-01,4.90E+00,
3.50E-01,4.64E+00,
4.00E-01,4.45E+00,
4.50E-01,4.31E+00,
5.00E-01,4.20E+00,
5.50E-01,4.11E+00,
6.00E-01,4.04E+00,
7.00E-01,3.95E+00,
8.00E-01,3.89E+00,
9.00E-01,3.85E+00,
1.00E+00,3.82E+00,
1.25E+00,3.79E+00,
1.50E+00,3.80E+00,
1.75E+00,3.81E+00,
2.00E+00,3.84E+00,
2.50E+00,3.89E+00,
3.00E+00,3.94E+00,
3.50E+00,4.00E+00,
4.00E+00,4.05E+00,
4.50E+00,4.10E+00,
5.00E+00,4.14E+00,
5.50E+00,4.18E+00,
6.00E+00,4.22E+00,
7.00E+00,4.30E+00,
8.00E+00,4.36E+00,
9.00E+00,4.42E+00,
1.00E+01,4.48E+00,
1.25E+01,4.60E+00,
1.50E+01,4.71E+00,
1.75E+01,4.81E+00,
2.00E+01,4.90E+00,
2.50E+01,5.07E+00,
3.00E+01,5.21E+00,
3.50E+01,5.35E+00,
4.00E+01,5.47E+00,
4.50E+01,5.58E+00,
5.00E+01,5.69E+00,
5.50E+01,5.78E+00,
6.00E+01,5.88E+00,
7.00E+01,6.05E+00,
8.00E+01,6.22E+00,
9.00E+01,6.39E+00,
1.00E+02,6.55E+00,
1.25E+02,6.96E+00,
1.50E+02,7.35E+00,
1.75E+02,7.74E+00,
2.00E+02,8.13E+00,
2.50E+02,8.91E+00,
3.00E+02,9.69E+00,
3.50E+02,1.05E+01,
4.00E+02,1.13E+01,
4.50E+02,1.20E+01,
5.00E+02,1.28E+01,
5.50E+02,1.36E+01,
6.00E+02,1.44E+01,
7.00E+02,1.59E+01,
8.00E+02,1.75E+01,
9.00E+02,1.91E+01,
1.00E+03,2.07E+01,
