energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,2.27E+01,
1.25E-02,1.90E+01,
1.50E-02,1.64E+01,
1.75E-02,1.45E+01,
2.00E-02,1.31E+01,
2.50E-02,1.10E+01,
3.00E-02,9.52E+00,
3.50E-02,8.46E+00,
4.00E-02,7.64E+00,
4.50E-02,7.00E+00,
5.00E-02,6.47E+00,
5.50E-02,6.04E+00,
6.00E-02,5.67E+00,
7.00E-02,5.09E+00,
8.00E-02,4.64E+00,
9.00E-02,4.29E+00,
1.00E-01,4.00E+00,
1.25E-01,3.49E+00,
1.50E-01,3.14E+00,
1.75E-01,2.89E+00,
2.00E-01,2.70E+00,
2.50E-01,2.44E+00,
3.00E-01,2.27E+00,
3.50E-01,2.15E+00,
4.00E-01,2.07E+00,
4.50E-01,2.00E+00,
5.00E-01,1.95E+00,
5.50E-01,1.92E+00,
6.00E-01,1.89E+00,
7.00E-01,1.85E+00,
8.00E-01,1.82E+00,
9.00E-01,1.80E+00,
1.00E+00,1.79E+00,
1.25E+00,1.78E+00,
1.50E+00,1.79E+00,
1.75E+00,1.80E+00,
2.00E+00,1.81E+00,
2.50E+00,1.84E+00,
3.00E+00,1.87E+00,
3.50E+00,1.90E+00,
4.00E+00,1.93E+00,
4.50E+00,1.95E+00,
5.00E+00,1.97E+00,
5.50E+00,2.00E+00,
6.00E+00,2.02E+00,
7.00E+00,2.06E+00,
8.00E+00,2.09E+00,
9.00E+00,2.13E+00,
1.00E+01,2.16E+00,
1.25E+01,2.23E+00,
1.50E+01,2.29E+00,
1.75E+01,2.35E+00,
2.00E+01,2.40E+00,
2.50E+01,2.49E+00,
3.00E+01,2.58E+00,
3.50E+01,2.66E+00,
4.00E+01,2.74E+00,
4.50E+01,2.81E+00,
5.00E+01,2.89E+00,
5.50E+01,2.96E+00,
6.00E+01,3.03E+00,
7.00E+01,3.16E+00,
8.00E+01,3.29E+00,
9.00E+01,3.41E+00,
1.00E+02,3.53E+00,
1.25E+02,3.82E+00,
1.50E+02,4.10E+00,
1.75E+02,4.37E+00,
2.00E+02,4.64E+00,
2.50E+02,5.17E+00,
3.00E+02,5.71E+00,
3.50E+02,6.24E+00,
4.00E+02,6.77E+00,
4.50E+02,7.30E+00,
5.00E+02,7.83E+00,
5.50E+02,8.36E+00,
6.00E+02,8.89E+00,
7.00E+02,9.96E+00,
8.00E+02,1.10E+01,
9.00E+02,1.21E+01,
1.00E+03,1.31E+01,
