energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.94E+01,
1.25E-02,1.63E+01,
1.50E-02,1.42E+01,
1.75E-02,1.26E+01,
2.00E-02,1.14E+01,
2.50E-02,9.60E+00,
3.00E-02,8.36E+00,
3.50E-02,7.45E+00,
4.00E-02,6.75E+00,
4.50E-02,6.19E+00,
5.00E-02,5.74E+00,
5.50E-02,5.36E+00,
6.00E-02,5.04E+00,
7.00E-02,4.54E+00,
8.00E-02,4.15E+00,
9.00E-02,3.84E+00,
1.00E-01,3.59E+00,
1.25E-01,3.14E+00,
1.50E-01,2.83E+00,
1.75E-01,2.61E+00,
2.00E-01,2.45E+00,
2.50E-01,2.22E+00,
3.00E-01,2.07E+00,
3.50E-01,1.96E+00,
4.00E-01,1.89E+00,
4.50E-01,1.83E+00,
5.00E-01,1.79E+00,
5.50E-01,1.76E+00,
6.00E-01,1.73E+00,
7.00E-01,1.70E+00,
8.00E-01,1.68E+00,
9.00E-01,1.67E+00,
1.00E+00,1.66E+00,
1.25E+00,1.66E+00,
1.50E+00,1.67E+00,
1.75E+00,1.68E+00,
2.00E+00,1.70E+00,
2.50E+00,1.74E+00,
3.00E+00,1.77E+00,
3.50E+00,1.81E+00,
4.00E+00,1.84E+00,
4.50E+00,1.87E+00,
5.00E+00,1.91E+00,
5.50E+00,1.93E+00,
6.00E+00,1.96E+00,
7.00E+00,2.02E+00,
8.00E+00,2.07E+00,
9.00E+00,2.11E+00,
1.00E+01,2.16E+00,
1.25E+01,2.27E+00,
1.50E+01,2.37E+00,
1.75E+01,2.46E+00,
2.00E+01,2.56E+00,
2.50E+01,2.73E+00,
3.00E+01,2.90E+00,
3.50E+01,3.07E+00,
4.00E+01,3.22E+00,
4.50E+01,3.38E+00,
5.00E+01,3.53E+00,
5.50E+01,3.68E+00,
6.00E+01,3.82E+00,
7.00E+01,4.12E+00,
8.00E+01,4.41E+00,
9.00E+01,4.70E+00,
1.00E+02,4.99E+00,
1.25E+02,5.71E+00,
1.50E+02,6.43E+00,
1.75E+02,7.15E+00,
2.00E+02,7.87E+00,
2.50E+02,9.30E+00,
3.00E+02,1.07E+01,
3.50E+02,1.22E+01,
4.00E+02,1.36E+01,
4.50E+02,1.51E+01,
5.00E+02,1.65E+01,
5.50E+02,1.80E+01,
6.00E+02,1.94E+01,
7.00E+02,2.23E+01,
8.00E+02,2.52E+01,
9.00E+02,2.81E+01,
1.00E+03,3.09E+01,
