energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,2.00E+01,
1.25E-02,1.68E+01,
1.50E-02,1.46E+01,
1.75E-02,1.30E+01,
2.00E-02,1.17E+01,
2.50E-02,9.85E+00,
3.00E-02,8.58E+00,
3.50E-02,7.64E+00,
4.00E-02,6.91E+00,
4.50E-02,6.34E+00,
5.00E-02,5.87E+00,
5.50E-02,5.48E+00,
6.00E-02,5.15E+00,
7.00E-02,4.63E+00,
8.00E-02,4.23E+00,
9.00E-02,3.91E+00,
1.00E-01,3.66E+00,
1.25E-01,3.19E+00,
1.50E-01,2.87E+00,
1.75E-01,2.65E+00,
2.00E-01,2.48E+00,
2.50E-01,2.24E+00,
3.00E-01,2.08E+00,
3.50E-01,1.97E+00,
4.00E-01,1.89E+00,
4.50E-01,1.83E+00,
5.00E-01,1.79E+00,
5.50E-01,1.75E+00,
6.00E-01,1.72E+00,
7.00E-01,1.68E+00,
8.00E-01,1.65E+00,
9.00E-01,1.63E+00,
1.00E+00,1.62E+00,
1.25E+00,1.60E+00,
1.50E+00,1.60E+00,
1.75E+00,1.60E+00,
2.00E+00,1.61E+00,
2.50E+00,1.63E+00,
3.00E+00,1.65E+00,
3.50E+00,1.67E+00,
4.00E+00,1.69E+00,
4.50E+00,1.71E+00,
5.00E+00,1.73E+00,
5.50E+00,1.74E+00,
6.00E+00,1.76E+00,
7.00E+00,1.80E+00,
8.00E+00,1.83E+00,
9.00E+00,1.86E+00,
1.00E+01,1.89E+00,
1.25E+01,1.96E+00,
1.50E+01,2.02E+00,
1.75E+01,2.08E+00,
2.00E+01,2.15E+00,
2.50E+01,2.27E+00,
3.00E+01,2.38E+00,
3.50E+01,2.50E+00,
4.00E+01,2.62E+00,
4.50E+01,2.73E+00,
5.00E+01,2.84E+00,
5.50E+01,2.96E+00,
6.00E+01,3.07E+00,
7.00E+01,3.30E+00,
8.00E+01,3.53E+00,
9.00E+01,3.76E+00,
1.00E+02,3.98E+00,
1.25E+02,4.55E+00,
1.50E+02,5.12E+00,
1.75E+02,5.70E+00,
2.00E+02,6.27E+00,
2.50E+02,7.41E+00,
3.00E+02,8.56E+00,
3.50E+02,9.71E+00,
4.00E+02,1.09E+01,
4.50E+02,1.20E+01,
5.00E+02,1.32E+01,
5.50E+02,1.43E+01,
6.00E+02,1.55E+01,
7.00E+02,1.78E+01,
8.00E+02,2.01E+01,
9.00E+02,2.24E+01,
1.00E+03,2.47E+01,
