energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,2.00E+01,
1.25E-02,1.68E+01,
1.50E-02,1.46E+01,
1.75E-02,1.30E+01,
2.00E-02,1.17E+01,
2.50E-02,9.84E+00,
3.00E-02,8.57E+00,
3.50E-02,7.63E+00,
4.00E-02,6.91E+00,
4.50E-02,6.34E+00,
5.00E-02,5.87E+00,
5.50E-02,5.48E+00,
6.00E-02,5.15E+00,
7.00E-02,4.63E+00,
8.00E-02,4.23E+00,
9.00E-02,3.92E+00,
1.00E-01,3.66E+00,
1.25E-01,3.20E+00,
1.50E-01,2.89E+00,
1.75E-01,2.66E+00,
2.00E-01,2.49E+00,
2.50E-01,2.26E+00,
3.00E-01,2.10E+00,
3.50E-01,2.00E+00,
4.00E-01,1.92E+00,
4.50E-01,1.86E+00,
5.00E-01,1.82E+00,
5.50E-01,1.79E+00,
6.00E-01,1.76E+00,
7.00E-01,1.73E+00,
8.00E-01,1.70E+00,
9.00E-01,1.69E+00,
1.00E+00,1.68E+00,
1.25E+00,1.68E+00,
1.50E+00,1.69E+00,
1.75E+00,1.70E+00,
2.00E+00,1.72E+00,
2.50E+00,1.75E+00,
3.00E+00,1.79E+00,
3.50E+00,1.82E+00,
4.00E+00,1.86E+00,
4.50E+00,1.89E+00,
5.00E+00,1.92E+00,
5.50E+00,1.95E+00,
6.00E+00,1.97E+00,
7.00E+00,2.02E+00,
8.00E+00,2.07E+00,
9.00E+00,2.12E+00,
1.00E+01,2.16E+00,
1.25E+01,2.26E+00,
1.50E+01,2.36E+00,
1.75E+01,2.45E+00,
2.00E+01,2.53E+00,
2.50E+01,2.70E+00,
3.00E+01,2.85E+00,
3.50E+01,3.00E+00,
4.00E+01,3.14E+00,
4.50E+01,3.28E+00,
5.00E+01,3.42E+00,
5.50E+01,3.55E+00,
6.00E+01,3.69E+00,
7.00E+01,3.95E+00,
8.00E+01,4.22E+00,
9.00E+01,4.48E+00,
1.00E+02,4.74E+00,
1.25E+02,5.39E+00,
1.50E+02,6.04E+00,
1.75E+02,6.69E+00,
2.00E+02,7.34E+00,
2.50E+02,8.64E+00,
3.00E+02,9.94E+00,
3.50E+02,1.12E+01,
4.00E+02,1.25E+01,
4.50E+02,1.39E+01,
5.00E+02,1.52E+01,
5.50E+02,1.65E+01,
6.00E+02,1.78E+01,
7.00E+02,2.04E+01,
8.00E+02,2.30E+01,
9.00E+02,2.56E+01,
1.00E+03,2.82E+01,
