energy,yp,yenp,source
1.00E-03,6.04E+02,6.04E+02,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z04.html
1.50E-03,1.80E+02,1.79E+02,
2.00E-03,7.47E+01,7.42E+01,
3.00E-03,2.13E+01,2.09E+01,
4.00E-03,8.69E+00,8.37E+00,
5.00E-03,4.37E+00,4.08E+00,
6.00E-03,2.53E+00,2.26E+00,
8.00E-03,1.12E+00,8.84E-01,
1.00E-02,6.47E-01,4.26E-01,
1.50E-02,3.07E-01,1.14E-01,
2.00E-02,2.25E-01,4.78E-02,
3.00E-02,1.79E-01,1.90E-02,
4.00E-02,1.64E-01,1.44E-02,
5.00E-02,1.55E-01,1.40E-02,
6.00E-02,1.49E-01,1.47E-02,
8.00E-02,1.40E-01,1.66E-02,
1.00E-01,1.33E-01,1.84E-02,
1.50E-01,1.19E-01,2.16E-02,
2.00E-01,1.09E-01,2.35E-02,
3.00E-01,9.46E-02,2.55E-02,
4.00E-01,8.47E-02,2.62E-02,
5.00E-01,7.74E-02,2.64E-02,
6.00E-01,7.16E-02,2.63E-02,
8.00E-01,6.29E-02,2.57E-02,
1.00E+00,5.65E-02,2.48E-02,
1.25E+00,5.05E-02,2.37E-02,
1.50E+00,4.60E-02,2.27E-02,
2.00E+00,3.94E-02,2.08E-02,
3.00E+00,3.14E-02,1.81E-02,
4.00E+00,2.66E-02,1.62E-02,
5.00E+00,2.35E-02,1.48E-02,
6.00E+00,2.12E-02,1.38E-02,
8.00E+00,1.82E-02,1.23E-02,
1.00E+01,1.63E-02,1.14E-02,
1.50E+01,1.36E-02,1.00E-02,
2.00E+01,1.23E-02,9.29E-03,
