energy,yp,yenp,source
1.00E-03,1.19E+03,1.18E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z13.html
1.50E-03,4.02E+02,4.00E+02,
1.56E-03,3.62E+02,3.60E+02,
1.56E-03,3.96E+03,3.83E+03,
2.00E-03,2.26E+03,2.20E+03,
3.00E-03,7.88E+02,7.73E+02,
4.00E-03,3.61E+02,3.55E+02,
5.00E-03,1.93E+02,1.90E+02,
6.00E-03,1.15E+02,1.13E+02,
8.00E-03,5.03E+01,4.92E+01,
1.00E-02,2.62E+01,2.54E+01,
1.50E-02,7.96E+00,7.49E+00,
2.00E-02,3.44E+00,3.09E+00,
3.00E-02,1.13E+00,8.78E-01,
4.00E-02,5.69E-01,3.60E-01,
5.00E-02,3.68E-01,1.84E-01,
6.00E-02,2.78E-01,1.10E-01,
8.00E-02,2.02E-01,5.51E-02,
1.00E-01,1.70E-01,3.79E-02,
1.50E-01,1.38E-01,2.83E-02,
2.00E-01,1.22E-01,2.75E-02,
3.00E-01,1.04E-01,2.82E-02,
4.00E-01,9.28E-02,2.86E-02,
5.00E-01,8.45E-02,2.87E-02,
6.00E-01,7.80E-02,2.85E-02,
8.00E-01,6.84E-02,2.78E-02,
1.00E+00,6.15E-02,2.69E-02,
1.25E+00,5.50E-02,2.57E-02,
1.50E+00,5.01E-02,2.45E-02,
2.00E+00,4.32E-02,2.27E-02,
3.00E+00,3.54E-02,2.02E-02,
4.00E+00,3.11E-02,1.88E-02,
5.00E+00,2.84E-02,1.80E-02,
6.00E+00,2.66E-02,1.74E-02,
8.00E+00,2.44E-02,1.68E-02,
1.00E+01,2.32E-02,1.65E-02,
1.50E+01,2.20E-02,1.63E-02,
2.00E+01,2.17E-02,1.63E-02,
