energy,yp,yenp,source
1.00E-03,1.23E+03,1.23E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html
1.50E-03,3.77E+02,3.76E+02,
2.00E-03,1.60E+02,1.59E+02,
3.00E-03,4.67E+01,4.62E+01,
4.00E-03,1.93E+01,1.89E+01,
5.00E-03,9.68E+00,9.33E+00,
6.00E-03,5.54E+00,5.22E+00,
8.00E-03,2.35E+00,2.07E+00,
1.00E-02,1.26E+00,1.01E+00,
1.50E-02,4.83E-01,2.70E-01,
2.00E-02,3.01E-01,1.08E-01,
3.00E-02,2.06E-01,3.51E-02,
4.00E-02,1.79E-01,2.08E-02,
5.00E-02,1.67E-01,1.74E-02,
6.00E-02,1.58E-01,1.68E-02,
8.00E-02,1.47E-01,1.79E-02,
1.00E-01,1.39E-01,1.94E-02,
1.50E-01,1.24E-01,2.26E-02,
2.00E-01,1.14E-01,2.45E-02,
3.00E-01,9.86E-02,2.65E-02,
4.00E-01,8.83E-02,2.73E-02,
5.00E-01,8.07E-02,2.75E-02,
6.00E-01,7.46E-02,2.74E-02,
8.00E-01,6.55E-02,2.67E-02,
1.00E+00,5.89E-02,2.59E-02,
1.25E+00,5.27E-02,2.47E-02,
1.50E+00,4.79E-02,2.36E-02,
2.00E+00,4.11E-02,2.17E-02,
3.00E+00,3.28E-02,1.89E-02,
4.00E+00,2.80E-02,1.70E-02,
5.00E+00,2.48E-02,1.56E-02,
6.00E+00,2.25E-02,1.46E-02,
8.00E+00,1.95E-02,1.32E-02,
1.00E+01,1.76E-02,1.23E-02,
1.50E+01,1.50E-02,1.10E-02,
2.00E+01,1.37E-02,1.04E-02,
