energy,yp,yenp,source
1.00E-03,4.59E+03,4.58E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z08.html
1.50E-03,1.55E+03,1.55E+03,
2.00E-03,6.95E+02,6.93E+02,
3.00E-03,2.17E+02,2.16E+02,
4.00E-03,9.32E+01,9.22E+01,
5.00E-03,4.79E+01,4.72E+01,
6.00E-03,2.77E+01,2.71E+01,
8.00E-03,1.16E+01,1.12E+01,
1.00E-02,5.95E+00,5.57E+00,
1.50E-02,1.84E+00,1.55E+00,
2.00E-02,8.65E-01,6.18E-01,
3.00E-02,3.78E-01,1.73E-01,
4.00E-02,2.59E-01,7.53E-02,
5.00E-02,2.13E-01,4.41E-02,
6.00E-02,1.91E-01,3.21E-02,
8.00E-02,1.68E-01,2.47E-02,
1.00E-01,1.55E-01,2.36E-02,
1.50E-01,1.36E-01,2.51E-02,
2.00E-01,1.24E-01,2.68E-02,
3.00E-01,1.07E-01,2.88E-02,
4.00E-01,9.57E-02,2.95E-02,
5.00E-01,8.73E-02,2.97E-02,
6.00E-01,8.07E-02,2.96E-02,
8.00E-01,7.09E-02,2.89E-02,
1.00E+00,6.37E-02,2.79E-02,
1.25E+00,5.70E-02,2.67E-02,
1.50E+00,5.19E-02,2.55E-02,
2.00E+00,4.46E-02,2.35E-02,
3.00E+00,3.60E-02,2.07E-02,
4.00E+00,3.10E-02,1.88E-02,
5.00E+00,2.78E-02,1.76E-02,
6.00E+00,2.55E-02,1.67E-02,
8.00E+00,2.26E-02,1.55E-02,
1.00E+01,2.09E-02,1.48E-02,
1.50E+01,1.87E-02,1.40E-02,
2.00E+01,1.77E-02,1.36E-02,
