energy,yp,yenp,source
1.00E-03,9.23E+02,9.20E+02,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z12.html
1.14E-03,6.47E+02,6.45E+02,
1.31E-03,4.53E+02,4.51E+02,
1.31E-03,5.44E+03,5.31E+03,
1.50E-03,4.00E+03,3.92E+03,
2.00E-03,1.93E+03,1.90E+03,
3.00E-03,6.59E+02,6.50E+02,
4.00E-03,2.97E+02,2.94E+02,
5.00E-03,1.58E+02,1.56E+02,
6.00E-03,9.38E+01,9.23E+01,
8.00E-03,4.06E+01,3.97E+01,
1.00E-02,2.11E+01,2.04E+01,
1.50E-02,6.36E+00,5.93E+00,
2.00E-02,2.76E+00,2.43E+00,
3.00E-02,9.31E-01,6.86E-01,
4.00E-02,4.88E-01,2.82E-01,
5.00E-02,3.29E-01,1.45E-01,
6.00E-02,2.57E-01,8.82E-02,
8.00E-02,1.95E-01,4.67E-02,
1.00E-01,1.69E-01,3.41E-02,
1.50E-01,1.39E-01,2.77E-02,
2.00E-01,1.25E-01,2.76E-02,
3.00E-01,1.07E-01,2.87E-02,
4.00E-01,9.49E-02,2.93E-02,
5.00E-01,8.65E-02,2.94E-02,
6.00E-01,7.99E-02,2.92E-02,
8.00E-01,7.01E-02,2.85E-02,
1.00E+00,6.30E-02,2.75E-02,
1.25E+00,5.63E-02,2.63E-02,
1.50E+00,5.13E-02,2.51E-02,
2.00E+00,4.43E-02,2.32E-02,
3.00E+00,3.61E-02,2.07E-02,
4.00E+00,3.16E-02,1.92E-02,
5.00E+00,2.87E-02,1.82E-02,
6.00E+00,2.68E-02,1.76E-02,
8.00E+00,2.45E-02,1.68E-02,
1.00E+01,2.31E-02,1.65E-02,
1.50E+01,2.17E-02,1.61E-02,
2.00E+01,2.13E-02,1.61E-02,
