energy,yp,yenp,source
1.00E-03,7.41E+03,7.33E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z10.html
1.50E-03,2.67E+03,2.65E+03,
2.00E-03,1.24E+03,1.23E+03,
3.00E-03,4.05E+02,4.02E+02,
4.00E-03,1.79E+02,1.77E+02,
5.00E-03,9.34E+01,9.21E+01,
6.00E-03,5.47E+01,5.37E+01,
8.00E-03,2.33E+01,2.26E+01,
1.00E-02,1.20E+01,1.14E+01,
1.50E-02,3.61E+00,3.25E+00,
2.00E-02,1.61E+00,1.32E+00,
3.00E-02,5.92E-01,3.68E-01,
4.00E-02,3.47E-01,1.53E-01,
5.00E-02,2.58E-01,8.18E-02,
6.00E-02,2.16E-01,5.29E-02,
8.00E-02,1.78E-01,3.27E-02,
1.00E-01,1.60E-01,2.73E-02,
1.50E-01,1.37E-01,2.59E-02,
2.00E-01,1.24E-01,2.70E-02,
3.00E-01,1.06E-01,2.86E-02,
4.00E-01,9.50E-02,2.93E-02,
5.00E-01,8.66E-02,2.95E-02,
6.00E-01,8.01E-02,2.93E-02,
8.00E-01,7.03E-02,2.86E-02,
1.00E+00,6.32E-02,2.77E-02,
1.25E+00,5.65E-02,2.64E-02,
1.50E+00,5.15E-02,2.53E-02,
2.00E+00,4.43E-02,2.33E-02,
3.00E+00,3.59E-02,2.06E-02,
4.00E+00,3.12E-02,1.89E-02,
5.00E+00,2.82E-02,1.78E-02,
6.00E+00,2.61E-02,1.71E-02,
8.00E+00,2.35E-02,1.62E-02,
1.00E+01,2.20E-02,1.56E-02,
1.50E+01,2.01E-02,1.51E-02,
2.00E+01,1.95E-02,1.49E-02,
