energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,1.21E+02,
1.50E-03,1.34E+02,
2.00E-03,1.45E+02,
2.50E-03,1.54E+02,
3.00E-03,1.62E+02,
4.00E-03,1.78E+02,
5.00E-03,1.93E+02,
6.00E-03,2.07E+02,
7.00E-03,2.20E+02,
8.00E-03,2.33E+02,
9.00E-03,2.45E+02,
1.00E-02,2.57E+02,
1.25E-02,2.86E+02,
1.50E-02,3.14E+02,
1.75E-02,3.40E+02,
2.00E-02,3.65E+02,
2.25E-02,3.89E+02,
2.50E-02,4.13E+02,
2.75E-02,4.36E+02,
3.00E-02,4.58E+02,
3.50E-02,5.00E+02,
4.00E-02,5.41E+02,
4.50E-02,5.79E+02,
5.00E-02,6.16E+02,
5.50E-02,6.51E+02,
6.00E-02,6.85E+02,
6.50E-02,7.18E+02,
7.00E-02,7.49E+02,
7.50E-02,7.79E+02,
8.00E-02,8.07E+02,
8.50E-02,8.35E+02,
9.00E-02,8.61E+02,
9.50E-02,8.86E+02,
1.00E-01,9.11E+02,
1.25E-01,1.02E+03,
1.50E-01,1.11E+03,
1.75E-01,1.18E+03,
2.00E-01,1.23E+03,
2.25E-01,1.28E+03,
2.50E-01,1.31E+03,
2.75E-01,1.34E+03,
3.00E-01,1.36E+03,
3.50E-01,1.40E+03,
4.00E-01,1.41E+03,
4.50E-01,1.42E+03,
5.00E-01,1.42E+03,
5.50E-01,1.42E+03,
6.00E-01,1.41E+03,
6.50E-01,1.40E+03,
7.00E-01,1.39E+03,
7.50E-01,1.37E+03,
8.00E-01,1.36E+03,
8.50E-01,1.34E+03,
9.00E-01,1.33E+03,
9.50E-01,1.31E+03,
1.00E+00,1.30E+03,
1.25E+00,1.22E+03,
1.50E+00,1.15E+03,
1.75E+00,1.08E+03,
2.00E+00,1.02E+03,
2.25E+00,9.72E+02,
2.50E+00,9.25E+02,
2.75E+00,8.82E+02,
3.00E+00,8.43E+02,
3.50E+00,7.74E+02,
4.00E+00,7.14E+02,
4.50E+00,6.62E+02,
5.00E+00,6.18E+02,
5.50E+00,5.80E+02,
6.00E+00,5.47E+02,
6.50E+00,5.19E+02,
7.00E+00,4.93E+02,
7.50E+00,4.70E+02,
8.00E+00,4.50E+02,
8.50E+00,4.31E+02,
9.00E+00,4.14E+02,
9.50E+00,3.99E+02,
1.00E+01,3.85E+02,
1.25E+01,3.28E+02,
1.50E+01,2.87E+02,
1.75E+01,2.57E+02,
2.00E+01,2.33E+02,
2.50E+01,1.97E+02,
2.75E+01,1.83E+02,
3.00E+01,1.72E+02,
3.50E+01,1.53E+02,
4.00E+01,1.38E+02,
4.50E+01,1.26E+02,
5.00E+01,1.16E+02,
5.50E+01,1.08E+02,
6.00E+01,1.01E+02,
6.50E+01,9.46E+01,
7.00E+01,8.93E+01,
7.50E+01,8.46E+01,
8.00E+01,8.04E+01,
8.50E+01,7.67E+01,
9.00E+01,7.33E+01,
9.50E+01,7.03E+01,
1.00E+02,6.75E+01,
1.25E+02,5.66E+01,
1.50E+02,4.91E+01,
1.75E+02,4.35E+01,
2.00E+02,3.92E+01,
2.25E+02,3.58E+01,
2.50E+02,3.30E+01,
2.75E+02,3.07E+01,
3.00E+02,2.88E+01,
3.50E+02,2.56E+01,
4.00E+02,2.32E+01,
4.50E+02,2.13E+01,
5.00E+02,1.98E+01,
5.50E+02,1.85E+01,
6.00E+02,1.75E+01,
6.50E+02,1.65E+01,
7.00E+02,1.58E+01,
7.50E+02,1.51E+01,
8.00E+02,1.45E+01,
8.50E+02,1.39E+01,
9.00E+02,1.34E+01,
9.50E+02,1.30E+01,
1.00E+03,1.26E+01,
