energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,8.16E+01,
1.50E-03,9.15E+01,
2.00E-03,9.94E+01,
2.50E-03,1.06E+02,
3.00E-03,1.13E+02,
4.00E-03,1.24E+02,
5.00E-03,1.34E+02,
6.00E-03,1.44E+02,
7.00E-03,1.53E+02,
8.00E-03,1.62E+02,
9.00E-03,1.70E+02,
1.00E-02,1.78E+02,
1.25E-02,1.98E+02,
1.50E-02,2.16E+02,
1.75E-02,2.33E+02,
2.00E-02,2.50E+02,
2.25E-02,2.66E+02,
2.50E-02,2.82E+02,
2.75E-02,2.97E+02,
3.00E-02,3.11E+02,
3.50E-02,3.39E+02,
4.00E-02,3.66E+02,
4.50E-02,3.91E+02,
5.00E-02,4.16E+02,
5.50E-02,4.40E+02,
6.00E-02,4.62E+02,
6.50E-02,4.85E+02,
7.00E-02,5.06E+02,
7.50E-02,5.27E+02,
8.00E-02,5.47E+02,
8.50E-02,5.67E+02,
9.00E-02,5.86E+02,
9.50E-02,6.05E+02,
1.00E-01,6.24E+02,
1.25E-01,7.10E+02,
1.50E-01,7.87E+02,
1.75E-01,8.57E+02,
2.00E-01,9.20E+02,
2.25E-01,9.77E+02,
2.50E-01,1.03E+03,
2.75E-01,1.07E+03,
3.00E-01,1.12E+03,
3.50E-01,1.18E+03,
4.00E-01,1.24E+03,
4.50E-01,1.28E+03,
5.00E-01,1.30E+03,
5.50E-01,1.32E+03,
6.00E-01,1.32E+03,
6.50E-01,1.32E+03,
7.00E-01,1.32E+03,
7.50E-01,1.31E+03,
8.00E-01,1.29E+03,
8.50E-01,1.28E+03,
9.00E-01,1.26E+03,
9.50E-01,1.24E+03,
1.00E+00,1.22E+03,
1.25E+00,1.13E+03,
1.50E+00,1.05E+03,
1.75E+00,9.75E+02,
2.00E+00,9.12E+02,
2.25E+00,8.58E+02,
2.50E+00,8.10E+02,
2.75E+00,7.68E+02,
3.00E+00,7.30E+02,
3.50E+00,6.67E+02,
4.00E+00,6.14E+02,
4.50E+00,5.70E+02,
5.00E+00,5.33E+02,
5.50E+00,5.01E+02,
6.00E+00,4.74E+02,
6.50E+00,4.49E+02,
7.00E+00,4.28E+02,
7.50E+00,4.09E+02,
8.00E+00,3.91E+02,
8.50E+00,3.76E+02,
9.00E+00,3.61E+02,
9.50E+00,3.48E+02,
1.00E+01,3.36E+02,
1.25E+01,2.88E+02,
1.50E+01,2.53E+02,
1.75E+01,2.26E+02,
2.00E+01,2.05E+02,
2.50E+01,1.74E+02,
2.75E+01,1.62E+02,
3.00E+01,1.52E+02,
3.50E+01,1.35E+02,
4.00E+01,1.22E+02,
4.50E+01,1.11E+02,
5.00E+01,1.03E+02,
5.50E+01,9.55E+01,
6.00E+01,8.93E+01,
6.50E+01,8.39E+01,
7.00E+01,7.92E+01,
7.50E+01,7.51E+01,
8.00E+01,7.14E+01,
8.50E+01,6.81E+01,
9.00E+01,6.51E+01,
9.50E+01,6.24E+01,
1.00E+02,6.00E+01,
1.25E+02,5.04E+01,
1.50E+02,4.37E+01,
1.75E+02,3.88E+01,
2.00E+02,3.50E+01,
2.25E+02,3.19E+01,
2.50E+02,2.95E+01,
2.75E+02,2.74E+01,
3.00E+02,2.57E+01,
3.50E+02,2.29E+01,
4.00E+02,2.08E+01,
4.50E+02,1.91E+01,
5.00E+02,1.77E+01,
5.50E+02,1.66E+01,
6.00E+02,1.56E+01,
6.50E+02,1.48E+01,
7.00E+02,1.41E+01,
7.50E+02,1.35E+01,
8.00E+02,1.29E+01,
8.50E+02,1.25E+01,
9.00E+02,1.20E+01,
9.50E+02,1.16E+01,
1.00E+03,1.13E+01,
