energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,1.26E+03,
1.50E-03,1.20E+03,
2.00E-03,1.16E+03,
2.50E-03,1.14E+03,
3.00E-03,1.13E+03,
4.00E-03,1.12E+03,
5.00E-03,1.14E+03,
6.00E-03,1.16E+03,
7.00E-03,1.19E+03,
8.00E-03,1.22E+03,
9.00E-03,1.26E+03,
1.00E-02,1.29E+03,
1.25E-02,1.39E+03,
1.50E-02,1.49E+03,
1.75E-02,1.59E+03,
2.00E-02,1.69E+03,
2.25E-02,1.78E+03,
2.50E-02,1.88E+03,
2.75E-02,1.97E+03,
3.00E-02,2.07E+03,
3.50E-02,2.25E+03,
4.00E-02,2.42E+03,
4.50E-02,2.59E+03,
5.00E-02,2.75E+03,
5.50E-02,2.90E+03,
6.00E-02,3.05E+03,
6.50E-02,3.20E+03,
7.00E-02,3.34E+03,
7.50E-02,3.48E+03,
8.00E-02,3.62E+03,
8.50E-02,3.75E+03,
9.00E-02,3.88E+03,
9.50E-02,4.00E+03,
1.00E-01,4.12E+03,
1.25E-01,4.69E+03,
1.50E-01,5.20E+03,
1.75E-01,5.65E+03,
2.00E-01,6.06E+03,
2.25E-01,6.42E+03,
2.50E-01,6.74E+03,
2.75E-01,7.02E+03,
3.00E-01,7.26E+03,
3.50E-01,7.66E+03,
4.00E-01,7.94E+03,
4.50E-01,8.12E+03,
5.00E-01,8.22E+03,
5.50E-01,8.26E+03,
6.00E-01,8.24E+03,
6.50E-01,8.18E+03,
7.00E-01,8.08E+03,
7.50E-01,7.96E+03,
8.00E-01,7.82E+03,
8.50E-01,7.67E+03,
9.00E-01,7.50E+03,
9.50E-01,7.34E+03,
1.00E+00,7.17E+03,
1.25E+00,6.35E+03,
1.50E+00,5.65E+03,
1.75E+00,5.07E+03,
2.00E+00,4.59E+03,
2.25E+00,4.19E+03,
2.50E+00,3.87E+03,
2.75E+00,3.59E+03,
3.00E+00,3.35E+03,
3.50E+00,2.97E+03,
4.00E+00,2.68E+03,
4.50E+00,2.44E+03,
5.00E+00,2.24E+03,
5.50E+00,2.08E+03,
6.00E+00,1.94E+03,
6.50E+00,1.82E+03,
7.00E+00,1.72E+03,
7.50E+00,1.62E+03,
8.00E+00,1.54E+03,
8.50E+00,1.47E+03,
9.00E+00,1.40E+03,
9.50E+00,1.34E+03,
1.00E+01,1.28E+03,
1.25E+01,1.07E+03,
1.50E+01,9.20E+02,
1.75E+01,8.10E+02,
2.00E+01,7.25E+02,
2.50E+01,6.01E+02,
2.75E+01,5.55E+02,
3.00E+01,5.16E+02,
3.50E+01,4.53E+02,
4.00E+01,4.05E+02,
4.50E+01,3.67E+02,
5.00E+01,3.36E+02,
5.50E+01,3.10E+02,
6.00E+01,2.88E+02,
6.50E+01,2.69E+02,
7.00E+01,2.53E+02,
7.50E+01,2.38E+02,
8.00E+01,2.26E+02,
8.50E+01,2.15E+02,
9.00E+01,2.05E+02,
9.50E+01,1.95E+02,
1.00E+02,1.87E+02,
1.25E+02,1.55E+02,
1.50E+02,1.34E+02,
1.75E+02,1.18E+02,
2.00E+02,1.05E+02,
2.25E+02,9.57E+01,
2.50E+02,8.80E+01,
2.75E+02,8.15E+01,
3.00E+02,7.61E+01,
3.50E+02,6.75E+01,
4.00E+02,6.09E+01,
4.50E+02,5.57E+01,
5.00E+02,5.15E+01,
5.50E+02,4.81E+01,
6.00E+02,4.52E+01,
6.50E+02,4.27E+01,
7.00E+02,4.06E+01,
7.50E+02,3.88E+01,
8.00E+02,3.71E+01,
8.50E+02,3.57E+01,
9.00E+02,3.44E+01,
9.50E+02,3.33E+01,
1.00E+03,3.23E+01,
