energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,3.13E+02,
1.50E-03,3.27E+02,
2.00E-03,3.40E+02,
2.50E-03,3.52E+02,
3.00E-03,3.63E+02,
4.00E-03,3.85E+02,
5.00E-03,4.05E+02,
6.00E-03,4.25E+02,
7.00E-03,4.44E+02,
8.00E-03,4.62E+02,
9.00E-03,4.80E+02,
1.00E-02,4.96E+02,
1.25E-02,5.36E+02,
1.50E-02,5.73E+02,
1.75E-02,6.08E+02,
2.00E-02,6.40E+02,
2.25E-02,6.71E+02,
2.50E-02,7.00E+02,
2.75E-02,7.28E+02,
3.00E-02,7.55E+02,
3.50E-02,8.05E+02,
4.00E-02,8.52E+02,
4.50E-02,8.95E+02,
5.00E-02,9.36E+02,
5.50E-02,9.75E+02,
6.00E-02,1.01E+03,
6.50E-02,1.05E+03,
7.00E-02,1.08E+03,
7.50E-02,1.11E+03,
8.00E-02,1.14E+03,
8.50E-02,1.17E+03,
9.00E-02,1.20E+03,
9.50E-02,1.23E+03,
1.00E-01,1.25E+03,
1.25E-01,1.37E+03,
1.50E-01,1.46E+03,
1.75E-01,1.54E+03,
2.00E-01,1.61E+03,
2.25E-01,1.67E+03,
2.50E-01,1.71E+03,
2.75E-01,1.75E+03,
3.00E-01,1.78E+03,
3.50E-01,1.83E+03,
4.00E-01,1.85E+03,
4.50E-01,1.86E+03,
5.00E-01,1.86E+03,
5.50E-01,1.85E+03,
6.00E-01,1.83E+03,
6.50E-01,1.81E+03,
7.00E-01,1.79E+03,
7.50E-01,1.76E+03,
8.00E-01,1.73E+03,
8.50E-01,1.71E+03,
9.00E-01,1.68E+03,
9.50E-01,1.65E+03,
1.00E+00,1.62E+03,
1.25E+00,1.50E+03,
1.50E+00,1.41E+03,
1.75E+00,1.33E+03,
2.00E+00,1.26E+03,
2.25E+00,1.19E+03,
2.50E+00,1.13E+03,
2.75E+00,1.08E+03,
3.00E+00,1.03E+03,
3.50E+00,9.36E+02,
4.00E+00,8.59E+02,
4.50E+00,7.93E+02,
5.00E+00,7.38E+02,
5.50E+00,6.90E+02,
6.00E+00,6.49E+02,
6.50E+00,6.13E+02,
7.00E+00,5.81E+02,
7.50E+00,5.52E+02,
8.00E+00,5.27E+02,
8.50E+00,5.04E+02,
9.00E+00,4.83E+02,
9.50E+00,4.64E+02,
1.00E+01,4.46E+02,
1.25E+01,3.77E+02,
1.50E+01,3.27E+02,
1.75E+01,2.90E+02,
2.00E+01,2.61E+02,
2.50E+01,2.19E+02,
2.75E+01,2.03E+02,
3.00E+01,1.89E+02,
3.50E+01,1.67E+02,
4.00E+01,1.50E+02,
4.50E+01,1.36E+02,
5.00E+01,1.25E+02,
5.50E+01,1.16E+02,
6.00E+01,1.08E+02,
6.50E+01,1.01E+02,
7.00E+01,9.50E+01,
7.50E+01,8.98E+01,
8.00E+01,8.51E+01,
8.50E+01,8.10E+01,
9.00E+01,7.73E+01,
9.50E+01,7.40E+01,
1.00E+02,7.10E+01,
1.25E+02,5.92E+01,
1.50E+02,5.10E+01,
1.75E+02,4.51E+01,
2.00E+02,4.05E+01,
2.25E+02,3.69E+01,
2.50E+02,3.39E+01,
2.75E+02,3.15E+01,
3.00E+02,2.95E+01,
3.50E+02,2.62E+01,
4.00E+02,2.37E+01,
4.50E+02,2.17E+01,
5.00E+02,2.01E+01,
5.50E+02,1.88E+01,
6.00E+02,1.77E+01,
6.50E+02,1.67E+01,
7.00E+02,1.59E+01,
7.50E+02,1.52E+01,
8.00E+02,1.46E+01,
8.50E+02,1.40E+01,
9.00E+02,1.35E+01,
9.50E+02,1.31E+01,
1.00E+03,1.27E+01,
