energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,2.30E+02,
1.50E-03,2.46E+02,
2.00E-03,2.58E+02,
2.50E-03,2.68E+02,
3.00E-03,2.78E+02,
4.00E-03,2.95E+02,
5.00E-03,3.10E+02,
6.00E-03,3.25E+02,
7.00E-03,3.39E+02,
8.00E-03,3.52E+02,
9.00E-03,3.65E+02,
1.00E-02,3.77E+02,
1.25E-02,4.06E+02,
1.50E-02,4.32E+02,
1.75E-02,4.57E+02,
2.00E-02,4.81E+02,
2.25E-02,5.03E+02,
2.50E-02,5.25E+02,
2.75E-02,5.45E+02,
3.00E-02,5.65E+02,
3.50E-02,6.02E+02,
4.00E-02,6.37E+02,
4.50E-02,6.70E+02,
5.00E-02,7.01E+02,
5.50E-02,7.30E+02,
6.00E-02,7.59E+02,
6.50E-02,7.86E+02,
7.00E-02,8.12E+02,
7.50E-02,8.37E+02,
8.00E-02,8.61E+02,
8.50E-02,8.84E+02,
9.00E-02,9.07E+02,
9.50E-02,9.29E+02,
1.00E-01,9.50E+02,
1.25E-01,1.05E+03,
1.50E-01,1.13E+03,
1.75E-01,1.21E+03,
2.00E-01,1.28E+03,
2.25E-01,1.34E+03,
2.50E-01,1.40E+03,
2.75E-01,1.45E+03,
3.00E-01,1.50E+03,
3.50E-01,1.58E+03,
4.00E-01,1.64E+03,
4.50E-01,1.70E+03,
5.00E-01,1.74E+03,
5.50E-01,1.77E+03,
6.00E-01,1.80E+03,
6.50E-01,1.81E+03,
7.00E-01,1.82E+03,
7.50E-01,1.82E+03,
8.00E-01,1.82E+03,
8.50E-01,1.82E+03,
9.00E-01,1.81E+03,
9.50E-01,1.79E+03,
1.00E+00,1.78E+03,
1.25E+00,1.67E+03,
1.50E+00,1.55E+03,
1.75E+00,1.43E+03,
2.00E+00,1.33E+03,
2.25E+00,1.24E+03,
2.50E+00,1.17E+03,
2.75E+00,1.10E+03,
3.00E+00,1.04E+03,
3.50E+00,9.40E+02,
4.00E+00,8.61E+02,
4.50E+00,7.95E+02,
5.00E+00,7.40E+02,
5.50E+00,6.93E+02,
6.00E+00,6.52E+02,
6.50E+00,6.17E+02,
7.00E+00,5.85E+02,
7.50E+00,5.57E+02,
8.00E+00,5.32E+02,
8.50E+00,5.09E+02,
9.00E+00,4.88E+02,
9.50E+00,4.70E+02,
1.00E+01,4.52E+02,
1.25E+01,3.84E+02,
1.50E+01,3.35E+02,
1.75E+01,2.98E+02,
2.00E+01,2.69E+02,
2.50E+01,2.27E+02,
2.75E+01,2.10E+02,
3.00E+01,1.96E+02,
3.50E+01,1.74E+02,
4.00E+01,1.57E+02,
4.50E+01,1.43E+02,
5.00E+01,1.31E+02,
5.50E+01,1.21E+02,
6.00E+01,1.13E+02,
6.50E+01,1.06E+02,
7.00E+01,1.00E+02,
7.50E+01,9.46E+01,
8.00E+01,8.98E+01,
8.50E+01,8.56E+01,
9.00E+01,8.17E+01,
9.50E+01,7.82E+01,
1.00E+02,7.51E+01,
1.25E+02,6.27E+01,
1.50E+02,5.42E+01,
1.75E+02,4.79E+01,
2.00E+02,4.31E+01,
2.25E+02,3.93E+01,
2.50E+02,3.62E+01,
2.75E+02,3.36E+01,
3.00E+02,3.15E+01,
3.50E+02,2.80E+01,
4.00E+02,2.53E+01,
4.50E+02,2.32E+01,
5.00E+02,2.16E+01,
5.50E+02,2.01E+01,
6.00E+02,1.90E+01,
6.50E+02,1.80E+01,
7.00E+02,1.71E+01,
7.50E+02,1.63E+01,
8.00E+02,1.57E+01,
8.50E+02,1.51E+01,
9.00E+02,1.46E+01,
9.50E+02,1.41E+01,
1.00E+03,1.37E+01,
