energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,2.21E+02,
1.50E-03,2.33E+02,
2.00E-03,2.43E+02,
2.50E-03,2.52E+02,
3.00E-03,2.60E+02,
4.00E-03,2.76E+02,
5.00E-03,2.91E+02,
6.00E-03,3.06E+02,
7.00E-03,3.20E+02,
8.00E-03,3.34E+02,
9.00E-03,3.48E+02,
1.00E-02,3.61E+02,
1.25E-02,3.93E+02,
1.50E-02,4.23E+02,
1.75E-02,4.52E+02,
2.00E-02,4.79E+02,
2.25E-02,5.05E+02,
2.50E-02,5.31E+02,
2.75E-02,5.55E+02,
3.00E-02,5.79E+02,
3.50E-02,6.24E+02,
4.00E-02,6.66E+02,
4.50E-02,7.07E+02,
5.00E-02,7.46E+02,
5.50E-02,7.83E+02,
6.00E-02,8.18E+02,
6.50E-02,8.53E+02,
7.00E-02,8.86E+02,
7.50E-02,9.18E+02,
8.00E-02,9.48E+02,
8.50E-02,9.78E+02,
9.00E-02,1.01E+03,
9.50E-02,1.04E+03,
1.00E-01,1.06E+03,
1.25E-01,1.19E+03,
1.50E-01,1.30E+03,
1.75E-01,1.40E+03,
2.00E-01,1.49E+03,
2.25E-01,1.57E+03,
2.50E-01,1.65E+03,
2.75E-01,1.71E+03,
3.00E-01,1.77E+03,
3.50E-01,1.87E+03,
4.00E-01,1.95E+03,
4.50E-01,2.00E+03,
5.00E-01,2.05E+03,
5.50E-01,2.07E+03,
6.00E-01,2.09E+03,
6.50E-01,2.10E+03,
7.00E-01,2.09E+03,
7.50E-01,2.09E+03,
8.00E-01,2.07E+03,
8.50E-01,2.05E+03,
9.00E-01,2.03E+03,
9.50E-01,2.01E+03,
1.00E+00,1.98E+03,
1.25E+00,1.82E+03,
1.50E+00,1.66E+03,
1.75E+00,1.52E+03,
2.00E+00,1.41E+03,
2.25E+00,1.31E+03,
2.50E+00,1.23E+03,
2.75E+00,1.15E+03,
3.00E+00,1.09E+03,
3.50E+00,9.84E+02,
4.00E+00,8.99E+02,
4.50E+00,8.30E+02,
5.00E+00,7.72E+02,
5.50E+00,7.22E+02,
6.00E+00,6.79E+02,
6.50E+00,6.41E+02,
7.00E+00,6.08E+02,
7.50E+00,5.79E+02,
8.00E+00,5.53E+02,
8.50E+00,5.29E+02,
9.00E+00,5.07E+02,
9.50E+00,4.88E+02,
1.00E+01,4.69E+02,
1.25E+01,3.98E+02,
1.50E+01,3.46E+02,
1.75E+01,3.08E+02,
2.00E+01,2.78E+02,
2.50E+01,2.34E+02,
2.75E+01,2.17E+02,
3.00E+01,2.02E+02,
3.50E+01,1.79E+02,
4.00E+01,1.61E+02,
4.50E+01,1.46E+02,
5.00E+01,1.35E+02,
5.50E+01,1.25E+02,
6.00E+01,1.16E+02,
6.50E+01,1.09E+02,
7.00E+01,1.03E+02,
7.50E+01,9.69E+01,
8.00E+01,9.20E+01,
8.50E+01,8.76E+01,
9.00E+01,8.36E+01,
9.50E+01,8.01E+01,
1.00E+02,7.68E+01,
1.25E+02,6.41E+01,
1.50E+02,5.54E+01,
1.75E+02,4.90E+01,
2.00E+02,4.40E+01,
2.25E+02,4.01E+01,
2.50E+02,3.69E+01,
2.75E+02,3.43E+01,
3.00E+02,3.21E+01,
3.50E+02,2.85E+01,
4.00E+02,2.58E+01,
4.50E+02,2.37E+01,
5.00E+02,2.19E+01,
5.50E+02,2.05E+01,
6.00E+02,1.93E+01,
6.50E+02,1.83E+01,
7.00E+02,1.74E+01,
7.50E+02,1.66E+01,
8.00E+02,1.59E+01,
8.50E+02,1.53E+01,
9.00E+02,1.48E+01,
9.50E+02,1.43E+01,
1.00E+03,1.39E+01,
