energy,yp,yenp,source
1.00E-03,3.31E+03,3.31E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z07.html
1.50E-03,1.08E+03,1.08E+03,
2.00E-03,4.77E+02,4.76E+02,
3.00E-03,1.46E+02,1.45E+02,
4.00E-03,6.17E+01,6.09E+01,
5.00E-03,3.14E+01,3.09E+01,
6.00E-03,1.81E+01,1.76E+01,
8.00E-03,7.56E+00,7.17E+00,
1.00E-02,3.88E+00,3.55E+00,
1.50E-02,1.24E+00,9.72E-01,
2.00E-02,6.18E-01,3.87E-01,
3.00E-02,3.07E-01,1.10E-01,
4.00E-02,2.29E-01,5.05E-02,
5.00E-02,1.98E-01,3.22E-02,
6.00E-02,1.82E-01,2.55E-02,
8.00E-02,1.64E-01,2.21E-02,
1.00E-01,1.53E-01,2.23E-02,
1.50E-01,1.35E-01,2.47E-02,
2.00E-01,1.23E-01,2.67E-02,
3.00E-01,1.07E-01,2.87E-02,
4.00E-01,9.56E-02,2.95E-02,
5.00E-01,8.72E-02,2.97E-02,
6.00E-01,8.06E-02,2.96E-02,
8.00E-01,7.08E-02,2.89E-02,
1.00E+00,6.36E-02,2.79E-02,
1.25E+00,5.69E-02,2.67E-02,
1.50E+00,5.18E-02,2.55E-02,
2.00E+00,4.45E-02,2.35E-02,
3.00E+00,3.58E-02,2.06E-02,
4.00E+00,3.07E-02,1.87E-02,
5.00E+00,2.74E-02,1.73E-02,
6.00E+00,2.51E-02,1.64E-02,
8.00E+00,2.21E-02,1.51E-02,
1.00E+01,2.02E-02,1.43E-02,
1.50E+01,1.78E-02,1.33E-02,
2.00E+01,1.67E-02,1.29E-02,
