energy,yp,yenp,source
1.00E-03,2.21E+03,2.21E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html
1.50E-03,7.00E+02,6.99E+02,
2.00E-03,3.03E+02,3.02E+02,
3.00E-03,9.03E+01,8.96E+01,
4.00E-03,3.78E+01,3.72E+01,
5.00E-03,1.91E+01,1.87E+01,
6.00E-03,1.10E+01,1.05E+01,
8.00E-03,4.58E+00,4.24E+00,
1.00E-02,2.37E+00,2.08E+00,
1.50E-02,8.07E-01,5.63E-01,
2.00E-02,4.42E-01,2.24E-01,
3.00E-02,2.56E-01,6.61E-02,
4.00E-02,2.08E-01,3.34E-02,
5.00E-02,1.87E-01,2.40E-02,
6.00E-02,1.75E-01,2.10E-02,
8.00E-02,1.61E-01,2.04E-02,
1.00E-01,1.51E-01,2.15E-02,
1.50E-01,1.35E-01,2.45E-02,
2.00E-01,1.23E-01,2.66E-02,
3.00E-01,1.07E-01,2.87E-02,
4.00E-01,9.55E-02,2.95E-02,
5.00E-01,8.72E-02,2.97E-02,
6.00E-01,8.06E-02,2.96E-02,
8.00E-01,7.08E-02,2.89E-02,
1.00E+00,6.36E-02,2.79E-02,
1.25E+00,5.69E-02,2.67E-02,
1.50E+00,5.18E-02,2.55E-02,
2.00E+00,4.44E-02,2.35E-02,
3.00E+00,3.56E-02,2.05E-02,
4.00E+00,3.05E-02,1.85E-02,
5.00E+00,2.71E-02,1.71E-02,
6.00E+00,2.47E-02,1.61E-02,
8.00E+00,2.15E-02,1.47E-02,
1.00E+01,1.96E-02,1.38E-02,
1.50E+01,1.70E-02,1.26E-02,
2.00E+01,1.58E-02,1.20E-02,
