energy,yp,yenp,source
1.00E+02,6.08E+04,6.05E+04,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html
1.50E+02,1.68E+04,1.64E+04,
2.00E+02,6.86E+03,6.50E+03,
3.00E+02,2.01E+03,1.68E+03,
4.00E+02,9.33E+02,6.38E+02,
5.00E+02,5.77E+02,3.06E+02,
6.00E+02,4.20E+02,1.67E+02,
8.00E+02,2.93E+02,6.45E+01,
1.00E+03,2.48E+02,3.26E+01,
1.50E+03,2.09E+02,1.25E+01,
2.00E+03,1.96E+02,9.41E+00,
3.00E+03,1.84E+02,1.00E+01,
4.00E+03,1.76E+02,1.19E+01,
5.00E+03,1.70E+02,1.38E+01,
6.00E+03,1.65E+02,1.54E+01,
8.00E+03,1.56E+02,1.83E+01,
1.00E+04,1.49E+02,2.05E+01,
1.50E+04,1.34E+02,2.42E+01,
2.00E+04,1.22E+02,2.65E+01,
3.00E+04,1.06E+02,2.87E+01,
4.00E+04,9.54E+01,2.95E+01,
5.00E+04,8.71E+01,2.97E+01,
6.00E+04,8.05E+01,2.96E+01,
8.00E+04,7.08E+01,2.89E+01,
1.00E+05,6.36E+01,2.80E+01,
1.25E+05,5.69E+01,2.67E+01,
1.50E+05,5.17E+01,2.56E+01,
2.00E+05,4.42E+01,2.34E+01,
3.00E+05,3.50E+01,2.02E+01,
4.00E+05,2.95E+01,1.79E+01,
5.00E+05,2.58E+01,1.62E+01,
6.00E+05,2.31E+01,1.49E+01,
8.00E+05,1.94E+01,1.31E+01,
1.00E+06,1.70E+01,1.18E+01,
1.50E+06,1.36E+01,9.95E+00,
2.00E+06,1.18E+01,8.91E+00,
