energy,yp,yenp,source
1.00E-03,5.65E+03,5.62E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z09.html
1.50E-03,1.98E+03,1.97E+03,
2.00E-03,9.05E+02,9.01E+02,
3.00E-03,2.89E+02,2.87E+02,
4.00E-03,1.26E+02,1.24E+02,
5.00E-03,6.51E+01,6.42E+01,
6.00E-03,3.79E+01,3.72E+01,
8.00E-03,1.60E+01,1.55E+01,
1.00E-02,8.21E+00,7.78E+00,
1.50E-02,2.49E+00,2.19E+00,
2.00E-02,1.13E+00,8.80E-01,
3.00E-02,4.49E-01,2.45E-01,
4.00E-02,2.83E-01,1.04E-01,
5.00E-02,2.21E-01,5.75E-02,
6.00E-02,1.92E-01,3.90E-02,
8.00E-02,1.64E-01,2.68E-02,
1.00E-01,1.50E-01,2.39E-02,
1.50E-01,1.30E-01,2.42E-02,
2.00E-01,1.18E-01,2.55E-02,
3.00E-01,1.02E-01,2.73E-02,
4.00E-01,9.07E-02,2.80E-02,
5.00E-01,8.27E-02,2.82E-02,
6.00E-01,7.65E-02,2.80E-02,
8.00E-01,6.72E-02,2.73E-02,
1.00E+00,6.04E-02,2.65E-02,
1.25E+00,5.40E-02,2.53E-02,
1.50E+00,4.92E-02,2.42E-02,
2.00E+00,4.23E-02,2.23E-02,
3.00E+00,3.42E-02,1.96E-02,
4.00E+00,2.96E-02,1.80E-02,
5.00E+00,2.66E-02,1.69E-02,
6.00E+00,2.46E-02,1.61E-02,
8.00E+00,2.20E-02,1.51E-02,
1.00E+01,2.04E-02,1.45E-02,
1.50E+01,1.85E-02,1.38E-02,
2.00E+01,1.77E-02,1.36E-02,
