energy,yp,yenp,source
1.00E-03,7.22E+00,6.82E+00,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z01.html
1.50E-03,2.15E+00,1.75E+00,
2.00E-03,1.06E+00,6.64E-01,
3.00E-03,5.61E-01,1.69E-01,
4.00E-03,4.55E-01,6.55E-02,
5.00E-03,4.19E-01,3.28E-02,
6.00E-03,4.04E-01,2.00E-02,
8.00E-03,3.91E-01,1.16E-02,
1.00E-02,3.85E-01,9.85E-03,
1.50E-02,3.76E-01,1.10E-02,
2.00E-02,3.70E-01,1.36E-02,
3.00E-02,3.57E-01,1.86E-02,
4.00E-02,3.46E-01,2.32E-02,
5.00E-02,3.36E-01,2.71E-02,
6.00E-02,3.26E-01,3.05E-02,
8.00E-02,3.09E-01,3.62E-02,
1.00E-01,2.94E-01,4.06E-02,
1.50E-01,2.65E-01,4.81E-02,
2.00E-01,2.43E-01,5.25E-02,
3.00E-01,2.11E-01,5.70E-02,
4.00E-01,1.89E-01,5.86E-02,
5.00E-01,1.73E-01,5.90E-02,
6.00E-01,1.60E-01,5.88E-02,
8.00E-01,1.41E-01,5.74E-02,
1.00E+00,1.26E-01,5.56E-02,
1.25E+00,1.13E-01,5.31E-02,
1.50E+00,1.03E-01,5.08E-02,
2.00E+00,8.77E-02,4.65E-02,
3.00E+00,6.92E-02,3.99E-02,
4.00E+00,5.81E-02,3.52E-02,
5.00E+00,5.05E-02,3.17E-02,
6.00E+00,4.50E-02,2.91E-02,
8.00E+00,3.75E-02,2.52E-02,
1.00E+01,3.25E-02,2.25E-02,
1.50E+01,2.54E-02,1.84E-02,
2.00E+01,2.15E-02,1.61E-02,
