energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,1.31E+02,
1.50E-03,1.45E+02,
2.00E-03,1.56E+02,
2.50E-03,1.67E+02,
3.00E-03,1.76E+02,
4.00E-03,1.94E+02,
5.00E-03,2.10E+02,
6.00E-03,2.25E+02,
7.00E-03,2.39E+02,
8.00E-03,2.53E+02,
9.00E-03,2.66E+02,
1.00E-02,2.79E+02,
1.25E-02,3.10E+02,
1.50E-02,3.39E+02,
1.75E-02,3.66E+02,
2.00E-02,3.93E+02,
2.25E-02,4.18E+02,
2.50E-02,4.42E+02,
2.75E-02,4.66E+02,
3.00E-02,4.88E+02,
3.50E-02,5.31E+02,
4.00E-02,5.71E+02,
4.50E-02,6.09E+02,
5.00E-02,6.44E+02,
5.50E-02,6.78E+02,
6.00E-02,7.10E+02,
6.50E-02,7.39E+02,
7.00E-02,7.67E+02,
7.50E-02,7.94E+02,
8.00E-02,8.19E+02,
8.50E-02,8.43E+02,
9.00E-02,8.65E+02,
9.50E-02,8.86E+02,
1.00E-01,9.06E+02,
1.25E-01,9.89E+02,
1.50E-01,1.05E+03,
1.75E-01,1.10E+03,
2.00E-01,1.14E+03,
2.25E-01,1.17E+03,
2.50E-01,1.20E+03,
2.75E-01,1.22E+03,
3.00E-01,1.24E+03,
3.50E-01,1.27E+03,
4.00E-01,1.28E+03,
4.50E-01,1.29E+03,
5.00E-01,1.30E+03,
5.50E-01,1.30E+03,
6.00E-01,1.30E+03,
6.50E-01,1.30E+03,
7.00E-01,1.29E+03,
7.50E-01,1.28E+03,
8.00E-01,1.27E+03,
8.50E-01,1.26E+03,
9.00E-01,1.25E+03,
9.50E-01,1.24E+03,
1.00E+00,1.23E+03,
1.25E+00,1.16E+03,
1.50E+00,1.10E+03,
1.75E+00,1.04E+03,
2.00E+00,9.86E+02,
2.25E+00,9.39E+02,
2.50E+00,8.96E+02,
2.75E+00,8.58E+02,
3.00E+00,8.22E+02,
3.50E+00,7.57E+02,
4.00E+00,6.99E+02,
4.50E+00,6.48E+02,
5.00E+00,6.05E+02,
5.50E+00,5.68E+02,
6.00E+00,5.36E+02,
6.50E+00,5.08E+02,
7.00E+00,4.83E+02,
7.50E+00,4.60E+02,
8.00E+00,4.40E+02,
8.50E+00,4.22E+02,
9.00E+00,4.05E+02,
9.50E+00,3.90E+02,
1.00E+01,3.76E+02,
1.25E+01,3.21E+02,
1.50E+01,2.81E+02,
1.75E+01,2.51E+02,
2.00E+01,2.27E+02,
2.50E+01,1.92E+02,
2.75E+01,1.79E+02,
3.00E+01,1.68E+02,
3.50E+01,1.49E+02,
4.00E+01,1.35E+02,
4.50E+01,1.23E+02,
5.00E+01,1.13E+02,
5.50E+01,1.05E+02,
6.00E+01,9.82E+01,
6.50E+01,9.22E+01,
7.00E+01,8.70E+01,
7.50E+01,8.24E+01,
8.00E+01,7.84E+01,
8.50E+01,7.47E+01,
9.00E+01,7.14E+01,
9.50E+01,6.84E+01,
1.00E+02,6.57E+01,
1.25E+02,5.51E+01,
1.50E+02,4.78E+01,
1.75E+02,4.24E+01,
2.00E+02,3.82E+01,
2.25E+02,3.49E+01,
2.50E+02,3.21E+01,
2.75E+02,2.99E+01,
3.00E+02,2.80E+01,
3.50E+02,2.49E+01,
4.00E+02,2.26E+01,
4.50E+02,2.08E+01,
5.00E+02,1.93E+01,
5.50E+02,1.80E+01,
6.00E+02,1.70E+01,
6.50E+02,1.61E+01,
7.00E+02,1.53E+01,
7.50E+02,1.46E+01,
8.00E+02,1.41E+01,
8.50E+02,1.35E+01,
9.00E+02,1.31E+01,
9.50E+02,1.26E+01,
1.00E+03,1.23E+01,
