energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,3.48E+02,
1.50E-03,3.73E+02,
2.00E-03,3.93E+02,
2.50E-03,4.10E+02,
3.00E-03,4.26E+02,
4.00E-03,4.55E+02,
5.00E-03,4.80E+02,
6.00E-03,5.04E+02,
7.00E-03,5.26E+02,
8.00E-03,5.47E+02,
9.00E-03,5.66E+02,
1.00E-02,5.85E+02,
1.25E-02,6.29E+02,
1.50E-02,6.69E+02,
1.75E-02,7.06E+02,
2.00E-02,7.41E+02,
2.25E-02,7.73E+02,
2.50E-02,8.04E+02,
2.75E-02,8.33E+02,
3.00E-02,8.61E+02,
3.50E-02,9.13E+02,
4.00E-02,9.61E+02,
4.50E-02,1.01E+03,
5.00E-02,1.05E+03,
5.50E-02,1.09E+03,
6.00E-02,1.13E+03,
6.50E-02,1.16E+03,
7.00E-02,1.19E+03,
7.50E-02,1.23E+03,
8.00E-02,1.26E+03,
8.50E-02,1.29E+03,
9.00E-02,1.32E+03,
9.50E-02,1.34E+03,
1.00E-01,1.37E+03,
1.25E-01,1.49E+03,
1.50E-01,1.58E+03,
1.75E-01,1.67E+03,
2.00E-01,1.74E+03,
2.25E-01,1.80E+03,
2.50E-01,1.85E+03,
2.75E-01,1.90E+03,
3.00E-01,1.93E+03,
3.50E-01,1.99E+03,
4.00E-01,2.03E+03,
4.50E-01,2.06E+03,
5.00E-01,2.07E+03,
5.50E-01,2.07E+03,
6.00E-01,2.06E+03,
6.50E-01,2.05E+03,
7.00E-01,2.04E+03,
7.50E-01,2.02E+03,
8.00E-01,2.00E+03,
8.50E-01,1.97E+03,
9.00E-01,1.95E+03,
9.50E-01,1.92E+03,
1.00E+00,1.89E+03,
1.25E+00,1.75E+03,
1.50E+00,1.62E+03,
1.75E+00,1.50E+03,
2.00E+00,1.40E+03,
2.25E+00,1.31E+03,
2.50E+00,1.23E+03,
2.75E+00,1.16E+03,
3.00E+00,1.10E+03,
3.50E+00,9.95E+02,
4.00E+00,9.10E+02,
4.50E+00,8.40E+02,
5.00E+00,7.81E+02,
5.50E+00,7.31E+02,
6.00E+00,6.88E+02,
6.50E+00,6.50E+02,
7.00E+00,6.17E+02,
7.50E+00,5.87E+02,
8.00E+00,5.60E+02,
8.50E+00,5.36E+02,
9.00E+00,5.14E+02,
9.50E+00,4.94E+02,
1.00E+01,4.76E+02,
1.25E+01,4.03E+02,
1.50E+01,3.51E+02,
1.75E+01,3.12E+02,
2.00E+01,2.81E+02,
2.50E+01,2.36E+02,
2.75E+01,2.19E+02,
3.00E+01,2.04E+02,
3.50E+01,1.81E+02,
4.00E+01,1.62E+02,
4.50E+01,1.48E+02,
5.00E+01,1.36E+02,
5.50E+01,1.26E+02,
6.00E+01,1.17E+02,
6.50E+01,1.10E+02,
7.00E+01,1.03E+02,
7.50E+01,9.77E+01,
8.00E+01,9.27E+01,
8.50E+01,8.83E+01,
9.00E+01,8.43E+01,
9.50E+01,8.07E+01,
1.00E+02,7.74E+01,
1.25E+02,6.46E+01,
1.50E+02,5.58E+01,
1.75E+02,4.93E+01,
2.00E+02,4.43E+01,
2.25E+02,4.04E+01,
2.50E+02,3.72E+01,
2.75E+02,3.45E+01,
3.00E+02,3.23E+01,
3.50E+02,2.87E+01,
4.00E+02,2.60E+01,
4.50E+02,2.38E+01,
5.00E+02,2.20E+01,
5.50E+02,2.06E+01,
6.00E+02,1.94E+01,
6.50E+02,1.83E+01,
7.00E+02,1.75E+01,
7.50E+02,1.67E+01,
8.00E+02,1.60E+01,
8.50E+02,1.54E+01,
9.00E+02,1.48E+01,
9.50E+02,1.44E+01,
1.00E+03,1.39E+01,
